year,GEOID,NAME,total_malesE,total_malesM,male_insuredE,male_insuredM,male_uninsuredE,male_uninsuredM,total_femalesE,total_femalesM,female_insuredE,female_insuredM,female_uninsuredE,female_uninsuredM,pct_male_insured,pct_female_insured,total_pop,total_insured,pct_pop_insured
2020,51033,"Caroline County, Virginia",2417,130,2163,162,254,168,2396,235,2318,233,78,91,89.49110467521722,96.74457429048414,4813,4481,93.10201537502597
2020,51041,"Chesterfield County, Virginia",31567,429,29825,586,1742,395,30979,440,29324,602,1655,407,94.48157886400355,94.65767132573679,62546,59149,94.56879736513926
2020,51047,"Culpeper County, Virginia",4516,279,4275,301,241,127,4911,315,4498,448,413,225,94.66341895482728,91.59030747301975,9427,8773,93.06248011032142
2020,51053,"Dinwiddie County, Virginia",2294,179,1965,188,329,197,2277,235,2045,230,232,152,85.65823888404533,89.81115502854632,4571,4010,87.72697440385036
2020,51061,"Fauquier County, Virginia",6386,204,6003,227,383,149,6107,153,5721,198,386,146,94.00250548073912,93.67938431308335,12493,11724,93.8445529496518
2020,51067,"Franklin County, Virginia",4509,255,4147,270,362,174,3850,229,3480,237,370,170,91.97161233089378,90.38961038961038,8359,7627,91.24297164732623
2020,51073,"Gloucester County, Virginia",2958,247,2852,249,106,78,2632,149,2517,174,115,108,96.41649763353617,95.6306990881459,5590,5369,96.04651162790697
2020,51079,"Greene County, Virginia",1749,184,1648,150,101,122,1652,185,1499,189,153,150,94.22527158376215,90.73849878934624,3401,3147,92.53160835048516
2020,51085,"Hanover County, Virginia",9897,225,9542,296,355,191,8752,251,8581,262,171,86,96.41305446094776,98.04616087751371,18649,18123,97.17947343021073
2020,51091,"Highland County, Virginia",53,32,43,23,10,19,166,85,127,69,39,55,81.13207547169812,76.50602409638554,219,170,77.6255707762557
2020,51143,"Pittsylvania County, Virginia",4584,149,4446,172,138,78,4476,174,4309,182,167,101,96.98952879581152,96.26899016979445,9060,8755,96.63355408388522
2020,51153,"Prince William County, Virginia",46972,534,43175,868,3797,641,44627,482,41176,754,3451,657,91.91646087030571,92.26701324310395,91599,84351,92.08724986080634
2020,51159,"Richmond County, Virginia",657,143,642,145,15,23,558,165,557,166,1,4,97.71689497716895,99.82078853046595,1215,1199,98.68312757201646
2020,51165,"Rockingham County, Virginia",6966,227,6318,287,648,210,6695,221,6048,282,647,173,90.69767441860465,90.33607169529499,13661,12366,90.5204597028036
2020,51171,"Shenandoah County, Virginia",3577,157,3399,193,178,135,3360,204,3283,191,77,87,95.02376292982947,97.70833333333333,6937,6682,96.32405939166787
2020,51177,"Spotsylvania County, Virginia",12828,260,12283,341,545,194,12304,324,11598,375,706,237,95.75148113501714,94.26202860858257,25132,23881,95.02228234919625
2020,51183,"Sussex County, Virginia",752,71,719,79,33,23,543,64,490,58,53,43,95.61170212765957,90.23941068139963,1295,1209,93.35907335907336
2020,51191,"Washington County, Virginia",3907,174,3558,228,349,141,3712,186,3470,213,242,138,91.0673150755055,93.48060344827587,7619,7028,92.24307651922824
2020,51197,"Wythe County, Virginia",2091,196,1844,231,247,131,2264,130,1908,182,356,141,88.18747010999522,84.2756183745583,4355,3752,86.15384615384616
2020,51520,"Bristol city, Virginia",1315,250,1308,248,7,13,1483,227,1452,231,31,40,99.46768060836501,97.90964261631827,2798,2760,98.64188706218727
2020,51550,"Chesapeake city, Virginia",22091,408,20950,475,1141,365,21311,350,20481,431,830,309,94.83500067900955,96.10529773356483,43402,41431,95.4587346205244
2020,51595,"Emporia city, Virginia",722,175,690,178,32,39,502,110,445,91,57,76,95.56786703601108,88.64541832669323,1224,1135,92.72875816993465
2020,51620,"Franklin city, Virginia",800,142,800,142,0,18,633,100,633,100,0,18,100,100,1433,1433,100
2020,51650,"Hampton city, Virginia",10525,411,10327,425,198,132,10493,289,10229,294,264,120,98.1187648456057,97.4840369770323,21018,20556,97.80188409934341
2020,51678,"Lexington city, Virginia",523,160,502,161,21,29,351,138,351,138,0,18,95.98470363288719,100,874,853,97.597254004576655
2020,51685,"Manassas Park city, Virginia",1685,165,1456,178,229,134,1612,187,1427,203,185,119,86.40949554896142,88.52357320099256,3297,2883,87.44313011828936
2020,51710,"Norfolk city, Virginia",16157,471,15318,537,839,194,16324,427,15280,523,1044,281,94.8072043077304,93.60450869884832,32481,30598,94.20276469320525
2020,51735,"Poquoson city, Virginia",1117,102,1054,109,63,52,998,95,969,94,29,41,94.35989256938228,97.09418837675351,2115,2023,95.6501182033097
2020,51760,"Richmond city, Virginia",13835,415,12765,492,1070,268,14841,346,13517,456,1324,372,92.2659920491507,91.07876827707028,28676,26282,91.65155530757427
2021,51001,"Accomack County, Virginia",2598,178,2276,218,322,191,2472,185,2276,235,196,127,87.60585065434951,92.07119741100324,5070,4552,89.78303747534517
2021,51003,"Albemarle County, Virginia",9315,290,8943,316,372,158,9749,345,9400,386,349,169,96.00644122383252,96.42014565596472,19064,18343,96.21800251783466
2021,51005,"Alleghany County, Virginia",1272,105,1190,126,82,63,990,86,944,84,46,35,93.55345911949685,95.35353535353536,2262,2134,94.34129089301503
2021,51007,"Amelia County, Virginia",1085,145,1085,145,0,21,1301,195,1234,187,67,83,100,94.8501152959262,2386,2319,97.19195305951384
2021,51009,"Amherst County, Virginia",2298,153,2169,164,129,89,2169,131,2044,129,125,72,94.38642297650131,94.23697556477639,4467,4213,94.31385717483771
2021,51011,"Appomattox County, Virginia",1283,92,1234,106,49,47,1332,79,1253,89,79,52,96.180826188620415,94.06906906906907,2615,2487,95.10516252390057
2021,51013,"Arlington County, Virginia",14596,338,14013,403,583,270,14342,269,13741,277,601,185,96.00575500137025,95.80951052851763,28938,27754,95.90849402170157
2021,51015,"Augusta County, Virginia",5567,337,5278,354,289,159,5633,250,5309,337,324,229,94.80869409017424,94.24818036570211,11200,10587,94.52678571428571
2021,51017,"Bath County, Virginia",292,144,292,144,0,13,138,65,138,65,0,13,100,100,430,430,100
2021,51019,"Bedford County, Virginia",5698,371,5540,401,158,137,5860,211,5677,211,183,114,97.22709722709723,96.87713310580205,11558,11217,97.04966257137913
2021,51021,"Bland County, Virginia",342,85,326,87,16,24,368,113,334,113,34,36,95.32163742690058,90.76086956521739,710,660,92.95774647887323
2021,51023,"Botetourt County, Virginia",2633,120,2470,201,163,148,2502,118,2450,123,52,46,93.809342954804407,97.9216626698641,5135,4920,95.81304771178189
2021,51025,"Brunswick County, Virginia",972,97,958,100,14,22,1053,106,1053,106,0,21,98.559670781893,100,2025,2011,99.30864197530865
2021,51027,"Buchanan County, Virginia",1300,74,1283,76,17,25,1231,80,1155,89,76,52,98.6923076923077,93.82615759545085,2531,2438,96.32556301856974
2021,51029,"Buckingham County, Virginia",979,75,922,100,57,51,1208,108,1048,143,160,127,94.17773237997957,86.75496688741721,2187,1970,90.07773205304069
2021,51031,"Campbell County, Virginia",4154,227,3960,260,194,120,4029,162,3784,222,245,126,95.32980259990372,93.91908662199057,8183,7744,94.63521935720397
2021,51033,"Caroline County, Virginia",2395,173,2148,188,247,193,2406,229,2324,236,82,101,89.68684759916493,96.59185369908562,4801,4472,93.14726098729432
2021,51035,"Carroll County, Virginia",2387,212,2314,219,73,79,1563,164,1442,183,121,95,96.94176790950985,92.25847728726806,3950,3756,95.08860759493672
2021,51036,"Charles City County, Virginia",498,55,455,55,43,29,380,36,379,36,1,2,91.36546184738957,99.73684210526315,878,834,94.98861047835992
2021,51037,"Charlotte County, Virginia",1223,137,1171,124,52,42,877,88,877,88,0,21,95.74816026165168,100,2100,2048,97.52380952380952
2021,51041,"Chesterfield County, Virginia",32765,531,30636,727,2129,495,32253,588,30487,715,1766,451,93.50221272699527,94.5245403528354,65018,61123,94.0093512565751
2021,51043,"Clarke County, Virginia",1088,121,1013,127,75,52,1322,141,1290,145,32,42,93.10661764705883,97.57942511346445,2410,2303,95.56016597510374
2021,51045,"Craig County, Virginia",398,176,398,176,0,13,351,102,351,102,0,13,100,100,749,749,100
2021,51047,"Culpeper County, Virginia",4810,356,4371,322,439,262,4707,285,4465,294,242,161,90.87318087318087,94.85872105374973,9517,8836,92.84438373437007
2021,51049,"Cumberland County, Virginia",825,179,747,195,78,84,690,180,543,137,147,117,90.54545454545455,78.69565217391305,1515,1290,85.14851485148515
2021,51051,"Dickenson County, Virginia",1128,53,1093,56,35,33,1029,52,1015,57,14,18,96.89716312056737,98.63945578231292,2157,2108,97.72832637923041
2021,51053,"Dinwiddie County, Virginia",2518,177,2384,261,134,180,2159,230,2037,243,122,125,94.67831612390786,94.34923575729505,4677,4421,94.52640581569382
2021,51057,"Essex County, Virginia",772,107,772,107,0,21,761,138,755,134,6,16,100,99.21156373193168,1533,1527,99.60861056751467
2021,51059,"Fairfax County, Virginia",102814,907,96508,1247,6306,860,96554,982,91554,1197,5000,649,93.86659404361274,94.8215506348779,199368,188062,94.32907989246017
2021,51061,"Fauquier County, Virginia",6557,234,6174,286,383,158,6336,214,5972,236,364,166,94.15891413756292,94.2550505050505,12893,12146,94.20615838051656
2021,51063,"Floyd County, Virginia",1150,99,1150,99,0,21,1160,119,1042,113,118,97,100,89.82758620689654,2310,2192,94.8917748917749
2021,51065,"Fluvanna County, Virginia",2179,153,1950,196,229,157,1872,209,1733,201,139,151,89.49059201468563,92.57478632478633,4051,3683,90.91582325351764
2021,51067,"Franklin County, Virginia",4388,215,4060,288,328,180,3793,204,3468,223,325,189,92.52506836827712,91.43158449775903,8181,7528,92.01809069795868
2021,51069,"Frederick County, Virginia",8008,245,7548,276,460,190,7339,223,7048,281,291,143,94.25574425574426,96.03488213653087,15347,14596,95.10653547924676
2021,51071,"Giles County, Virginia",1274,100,1229,120,45,52,1218,92,1147,119,71,78,96.46781789638933,94.17077175697865,2492,2376,95.34510433386838
2021,51073,"Gloucester County, Virginia",3247,225,3221,224,26,31,2793,162,2692,176,101,115,99.19926085617493,96.38381668456857,6040,5913,97.89735099337749
2021,51075,"Goochland County, Virginia",1833,236,1758,226,75,88,1607,143,1570,152,37,41,95.90834697217676,97.69757311761046,3440,3328,96.74418604651163
2021,51077,"Grayson County, Virginia",861,123,788,137,73,52,932,70,732,160,200,155,91.52148664343787,78.54077253218884,1793,1520,84.77412158393753
2021,51079,"Greene County, Virginia",1637,142,1606,138,31,57,2035,147,1999,156,36,39,98.10629199755651,98.23095823095824,3672,3605,98.17538126361656
2021,51081,"Greensville County, Virginia",610,113,597,116,13,14,712,74,670,83,42,41,97.8688524590164,94.10112359550563,1322,1267,95.83963691376702
2021,51083,"Halifax County, Virginia",2666,172,2484,209,182,129,2564,154,2524,163,40,46,93.17329332333082,98.4399375975039,5230,5008,95.75525812619503
2021,51085,"Hanover County, Virginia",10070,266,9593,318,477,176,9072,257,8827,275,245,108,95.26315789473684,97.2993827160494,19142,18420,96.22818932190994
2021,51087,"Henrico County, Virginia",28537,526,27136,615,1401,338,27096,540,26289,609,807,230,95.09058415390545,97.02170062001771,55633,53425,96.03113260115398
2021,51089,"Henry County, Virginia",3951,183,3823,203,128,106,3858,275,3780,288,78,59,96.7603138445963,97.97822706065318,7809,7603,97.36201818414649
2021,51091,"Highland County, Virginia",92,55,85,53,7,12,128,67,94,57,34,48,92.3913043478261,73.4375,220,179,81.36363636363636
2021,51093,"Isle of Wight County, Virginia",3166,248,2887,325,279,198,3083,199,2791,212,292,123,91.18761844598863,90.52870580603309,6249,5678,90.86253800608097
