"","LandmkName","Address","City","Zip","X","Y","LastCheck","SrcTyp","FIPScode","FIPSname"
"98","Poplar Springs Hospital","350 Poplar Drive","Petersburg","23805",-77.35919598,37.18771103,"2025/11/13 00:00:00+00","-",51730,"Petersburg City"
"99","Port Warwick Surgery Center, LLC","1031 Loftis Avenue","Newport News","23606",-76.48485376,37.0847583,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51700,"Newport News City"
"100","UVA Health Prince William Medical Center","8644 Sudley Road","Manassas","20110",-77.48872662,38.76771034,"2025/11/13 00:00:00+00","Inpatient Hospital",51683,"Manassas City"
"101","Princess Anne Ambulatory Surgery Center","1975 Glenn Mitchell Drive","Virginia Beach","23456",-76.09769899,36.77658212,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"102","Rehabilitation Hospital of Bristol, A Joint Venture of Ballad Health and Encompa","103 North Street","Bristol","24201",-82.21681682,36.59712137,"2025/11/13 00:00:00+00","Inpatient Hospital",51520,"Bristol City"
"103","Reston Hospital Center","1850 Town Center Parkway","Reston","20190",-77.36481515,38.96228755,"2025/11/13 00:00:00+00","Inpatient Hospital",51059,"Fairfax County"
"104","Reston Surgery Center","1860 Town Center Drive, Suite G100","Reston","20190",-77.36633837,38.96136803,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"105","Riverside Doctors' Surgery Center","120 Kings Way,  Suite 1500","Williamsburg","23185",-76.74044487,37.2561104,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51095,"James City County"
"106","Riverside Doctors' Hospital Williamsburg","1500 Commonwealth Avenue","Williamsburg","23185",-76.66841838,37.25099461,"2025/11/13 00:00:00+00","Inpatient Hospital",51830,"Williamsburg City"
"107","Riverside Hampton Surgery Center","850 Enterprise Parkway, Suite 1000","Hampton","23666",-76.40331742,37.05895721,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51650,"Hampton City"
"108","Riverside Health - Peninsula Surgery Center","12000 Warwick Boulevard","Newport News","23601",-76.48279611,37.06047104,"2025/11/13 00:00:00+00","-",51700,"Newport News City"
"109","Riverside Regional Medical Center","500 J. Clyde Morris Boulevard","Newport News","23601",-76.48303598,37.06429366,"2025/11/13 00:00:00+00","Inpatient Hospital",51700,"Newport News City"
"110","Riverside Rehabilitation Hospital","250 Josephs Drive","Yorktown","23693",-76.4546204,37.12141971,"2025/11/13 00:00:00+00","Inpatient Hospital",51199,"York County"
"111","Riverside Shore Memorial Hospital","20480 Market Street","Onancock","23417",-75.72321045,37.69738516,"2025/11/13 00:00:00+00","Inpatient Hospital",51001,"Accomack County"
"112","Riverside Walter Reed Hospital","7547 Medical Dr","Gloucester","23061",-76.54074532,37.42025172,"2025/11/13 00:00:00+00","Inpatient Hospital",51073,"Gloucester County"
"113","Roanoke Ambulatory Surgery Center","1102 Jefferson Street  SE","Roanoke","24016",-79.94108706,37.26282222,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51770,"Roanoke City"
"114","Roanoke Valley Center for Sight, LLC","2154 McVitty Road, Suite 101","Roanoke","24018",-80.03448356,37.24867678,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51770,"Roanoke City"
"115","Roanoke Valley Center for Sight, LLC","438 West Main Street","Salem","24153",-80.06652654,37.29084049,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51775,"Salem City"
"116","Rockingham Eye Surgery Center","1690-B Spring Port Drive","ROCKINGHAM","22801",-78.86946889,38.40671112,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51165,"Rockingham County"
"117","Russell County Hospital","58 Carroll Street","Lebanon","24266",-82.07854783,36.8986832,"2025/11/13 00:00:00+00","Inpatient Hospital",51167,"Russell County"
"118","Select Specialty Hospital - Hampton Roads","500 J. Clyde Morris Boulevard, 4th Floor East","Newport News","23601",-76.48303598,37.06429366,"2025/11/13 00:00:00+00","Inpatient Hospital",51700,"Newport News City"
"119","Select Specialty Hospital - Richmond, Inc.","2220 Edward Holland Drive","Richmond","23230",-77.49076035,37.59075878,"2025/11/13 00:00:00+00","Inpatient Hospital",51087,"Henrico County"
"120","Sentara BelleHarbour Surgery Center","3910 Bridge Road, Suite 200","Suffolk","23435",-76.4497715,36.86405621,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51800,"Suffolk City"
"121","Sentara CarePlex Hospital","3000 Coliseum Drive","Hampton","23666",-76.39065491,37.05681248,"2025/11/13 00:00:00+00","Inpatient Hospital",51650,"Hampton City"
"122","Sentara Halifax Regional Hospital","2204 Wilborn Avenue","South Boston","24592",-78.91445698,36.71235252,"2025/11/13 00:00:00+00","Inpatient Hospital",51083,"Halifax County"
"123","Sentara - Leigh Orthopedic Hospital","830 Kempsville Road","Norfolk","23502",-76.18998667,36.85011591,"2025/11/13 00:00:00+00","-",51710,"Norfolk City"
"124","Sentara Martha Jefferson Hospital","500 Martha Jefferson Drive","Charlottesville","22911",-78.44436702,38.02271678,"2025/11/13 00:00:00+00","Inpatient Hospital",51003,"Albemarle County"
"125","Sentara Norfolk General Hospital","600 Gresham Drive","Norfolk","23507",-76.30341878,36.86198017,"2025/11/13 00:00:00+00","Inpatient Hospital",51710,"Norfolk City"
"126","Sentara Northern Virginia Medical Center","2300 Opitz Boulevard","Woodbridge","22191",-77.28632636,38.63718276,"2025/11/13 00:00:00+00","Inpatient Hospital",51153,"Prince William County"
"127","Sentara Obici Ambulatory Surgery, LLC","2750 Godwin Blvd","Suffolk","23434",-76.58291143,36.77093965,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51800,"Suffolk City"
"128","Sentara Obici Hospital","2800 Godwin Boulevard","Suffolk","23434",-76.58160696,36.77312484,"2025/11/13 00:00:00+00","Inpatient Hospital",51800,"Suffolk City"
"129","Sentara Princess Anne Hospital","2025 Glenn Mitchell Drive","Virginia Beach","23456",-76.09883774,36.77525865,"2025/11/13 00:00:00+00","Inpatient Hospital",51810,"Virginia Beach City"
"130","Sentara RMH Medical Center","2010 Health Campus Drive","Harrisonburg","22801",-78.85540333,38.40505028,"2025/11/13 00:00:00+00","Inpatient Hospital",51165,"Rockingham County"
"131","Virginia Beach Ambulatory Surgery Center","1700 Will O Wisp Drive","Virginia Beach","23454",-76.02496722,36.86427533,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"132","Sentara Virginia Beach General Hospital","1060 First Colonial Road","Virginia Beach","23454",-76.02635239,36.86476449,"2025/11/13 00:00:00+00","Inpatient Hospital",51810,"Virginia Beach City"
"133","Sentara Williamsburg Regional Medical Center","100 Sentara Circle","Williamsburg","23188",-76.74088474,37.33649203,"2025/11/13 00:00:00+00","Inpatient Hospital",51199,"York County"
"134","Sheltering Arms Institute","2000 Wilkes Ridge Drive","Henrico","23233",-77.65619532,37.65974216,"2025/11/13 00:00:00+00","-",51075,"Goochland County"
"135","Skin Surgery Center of Virginia, LLC","2510 Gaskins Road","Henrico","23238",-77.57898284,37.63017862,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"136","Smyth County Community Hospital","245 Medical Park Drive","Marion","24354",-81.48817964,36.85182582,"2025/11/13 00:00:00+00","Inpatient Hospital",51173,"Smyth County"
"137","Soaring Surgery Center","2050 Abbey Rd Suite D","Charlottesville","22911",-78.44317031,38.02851723,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51003,"Albemarle County"
"138","Southwest Virginia Center for Sight","470 Lithia Road","Wytheville","24382",-81.05553257,36.95152837,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51197,"Wythe County"
"139","Sovah Health - Danville","142 South Main Street","Danville","24541",-79.40535223,36.5773116,"2025/11/13 00:00:00+00","Inpatient Hospital",51590,"Danville City"
"140","Sovah Health - Martinsville","320 Hospital Drive","Martinsville","24112",-79.86720424,36.69926421,"2025/11/13 00:00:00+00","Inpatient Hospital",51690,"Martinsville City"
"141","Spotsylvania Regional Medical Center","4600 Spotsylvania Parkway","Fredericksburg","22408",-77.49605829,38.21741731,"2025/11/13 00:00:00+00","Inpatient Hospital",51177,"Spotsylvania County"
"142","St. Mary's Ambulatory Surgery Center","1501 Maple Avenue","Richmond","23226",-77.51376322,37.58521168,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"143","Stafford Hospital","101 Hospital Center Blvd","Stafford","22554",-77.40731233,38.415361,"2025/11/13 00:00:00+00","Inpatient Hospital",51179,"Stafford County"
"144","Stone Springs Ambulatory Surgery Center","24570 Medical Dr","Dulles","20166",-77.54013131,38.93849376,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51107,"Loudoun County"
"145","StoneSprings Hospital Center","24440 Stone Springs Blvd","Dulles","20166",-77.54233719,38.94046687,"2025/11/13 00:00:00+00","Inpatient Hospital",51107,"Loudoun County"
"146","The Surgery Center of Chesapeake, LLC","844 Battlefield Blvd. North","Chesapeake","23320",-76.24683431,36.75000584,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51550,"Chesapeake City"
"147","Surgery Center of Lynchburg, LLC","2401 Atherholt Road","Lynchburg","24501",-79.17784351,37.4085525,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51680,"Lynchburg City"
